scenario,engine,variant,type,final_wind_delta_ms,final_moisture_delta,final_pressure_delta_hpa,final_rmw_delta_km,max_wind_delta_ms,max_pressure_delta_hpa,max_rmw_delta_km,regime_mismatch_steps,max_transition_probability_l1_delta
open_ocean_intensifying,fixed_regime,Ck_minus_30pct,one_at_a_time,-1.9708021768169885,-0.008652279192359558,0.6844569869572297,1.2491736523731944,3.1691264089021587,0.6844569869572297,2.136914582989043,0,0.0
open_ocean_intensifying,fixed_regime,Ck_plus_30pct,one_at_a_time,0.7857720160098438,0.0026223706458716745,-0.646862042414682,-0.47339938549765037,2.634268909417827,0.646862042414682,1.6728193898278327,0,0.0
open_ocean_intensifying,fixed_regime,boundary_layer_depth_minus_30pct,one_at_a_time,0.889480125494039,0.0026906442108259876,-0.9087558265237021,-0.5358593154783016,3.602863410840669,0.9087558265237021,2.2910849044676915,0,0.0
open_ocean_intensifying,fixed_regime,boundary_layer_depth_plus_30pct,one_at_a_time,-1.382556969752386,-0.00590794691007146,0.5242077389947326,0.8660359809990048,2.3719643647637625,0.5242077389947326,1.5929505543219804,0,0.0
open_ocean_intensifying,fixed_regime,fast_kappa_minus_30pct,one_at_a_time,0.7743397438212511,0.0017948883297661533,-0.19648699522178958,-0.4633203956960763,0.8295724578928656,0.19648699522178958,0.5097622605588903,0,0.0
open_ocean_intensifying,fixed_regime,fast_kappa_plus_30pct,one_at_a_time,-0.8316757409968218,-0.0019466172457281994,0.20124182704137183,0.5138702132464026,0.8739607370279074,0.20124182704137183,0.5489986681107304,0,0.0
open_ocean_intensifying,fixed_regime,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
open_ocean_intensifying,fixed_regime,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,2.4868995751603507e-14,7.105427357601002e-15,0.0,2.4868995751603507e-14,0,0.0
open_ocean_intensifying,full_markov,Ck_minus_30pct,one_at_a_time,-1.9708021768169885,-0.008652279192359558,0.1015689675965632,1.2491736523731944,3.1691264089021587,0.2791651283179135,2.136914582989043,0,0.3178990884137241
open_ocean_intensifying,full_markov,Ck_plus_30pct,one_at_a_time,0.7857720160098438,0.0026223706458716745,-4.625017511287524,-0.47339938549765037,2.634268909417827,4.69052065966207,1.6728193898278327,1,1.119997290961809
open_ocean_intensifying,full_markov,boundary_layer_depth_minus_30pct,one_at_a_time,0.889480125494039,0.0026906442108259876,-4.791968193711796,-0.5358593154783016,3.602863410840669,4.873166662618587,2.2910849044676915,1,1.1297740627494162
open_ocean_intensifying,full_markov,boundary_layer_depth_plus_30pct,one_at_a_time,-1.382556969752386,-0.00590794691007146,0.08605512177882702,0.8660359809990048,2.3719643647637625,0.21259435048807518,1.5929505543219804,0,0.2519711370250102
open_ocean_intensifying,full_markov,fast_kappa_minus_30pct,one_at_a_time,0.7743397438212511,0.0017948883297661533,-0.011306756062481327,-0.4633203956960763,0.8295724578928656,0.07361663436449817,0.5097622605588903,0,0.14437330165641485
open_ocean_intensifying,full_markov,fast_kappa_plus_30pct,one_at_a_time,-0.8316757409968218,-0.0019466172457281994,0.009448735804767239,0.5138702132464026,0.8739607370279074,0.07620042834412288,0.5489986681107304,0,0.1366882773304182
open_ocean_intensifying,full_markov,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
open_ocean_intensifying,full_markov,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,2.4868995751603507e-14,7.105427357601002e-15,0.0,2.4868995751603507e-14,0,8.656270145124267e-16
hostile_open_ocean,fixed_regime,Ck_minus_30pct,one_at_a_time,3.5432238790581287,0.05616366734118011,1.5442607060305136,-10.001076977131888,3.5432238790581287,1.5442607060305136,10.001076977131888,0,0.0
hostile_open_ocean,fixed_regime,Ck_plus_30pct,one_at_a_time,-2.525007780863639,-0.04487818877994815,-1.1649196758113476,8.973905890625616,2.531045722049523,1.1649196758113476,8.973905890625616,0,0.0
hostile_open_ocean,fixed_regime,boundary_layer_depth_minus_30pct,one_at_a_time,-3.4060731181646364,-0.06150207780912692,-1.5847546094042855,12.563506753820889,3.4218267611373854,1.5847546094042855,12.563506753820889,0,0.0
hostile_open_ocean,fixed_regime,boundary_layer_depth_plus_30pct,one_at_a_time,2.5996857878977337,0.04198125803472347,1.1430341822438095,-7.585010281373684,2.5996857878977337,1.1430341822438095,7.585010281373684,0,0.0
hostile_open_ocean,fixed_regime,fast_kappa_minus_30pct,one_at_a_time,0.21833525675181065,0.0017497465141221857,0.09116326544597086,-0.6954202436547803,0.22285358663960864,0.09116326544597086,0.6954202436547803,0,0.0
hostile_open_ocean,fixed_regime,fast_kappa_plus_30pct,one_at_a_time,-0.22065149430160602,-0.0017791890665658783,-0.09202715111950965,0.714754735461284,0.225370327562036,0.09202715111950965,0.714754735461284,0,0.0
hostile_open_ocean,fixed_regime,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
hostile_open_ocean,fixed_regime,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,-1.4210854715202004e-14,7.105427357601002e-15,0.0,1.4210854715202004e-14,0,0.0
hostile_open_ocean,full_markov,Ck_minus_30pct,one_at_a_time,3.5432238790581287,0.05616366734118011,0.8423164944506425,-10.001076977131888,3.5432238790581287,0.8423164944506425,10.001076977131888,0,0.05748409099787714
hostile_open_ocean,full_markov,Ck_plus_30pct,one_at_a_time,-2.525007780863639,-0.04487818877994815,-0.6638243133936612,8.973905890625616,2.531045722049523,0.6638243133936612,8.973905890625616,0,0.02601410121148679
hostile_open_ocean,full_markov,boundary_layer_depth_minus_30pct,one_at_a_time,-3.4060731181646364,-0.06150207780912692,-0.9089865655910216,12.563506753820889,3.4218267611373854,0.9089865655910216,12.563506753820889,0,0.03279898573854214
hostile_open_ocean,full_markov,boundary_layer_depth_plus_30pct,one_at_a_time,2.5996857878977337,0.04198125803472347,0.6276694545757664,-7.585010281373684,2.5996857878977337,0.6276694545757664,7.585010281373684,0,0.039385472030226305
hostile_open_ocean,full_markov,fast_kappa_minus_30pct,one_at_a_time,0.21833525675181065,0.0017497465141221857,0.04681545093899331,-0.6954202436547803,0.22285358663960864,0.04681545093899331,0.6954202436547803,0,0.004767005312388767
hostile_open_ocean,full_markov,fast_kappa_plus_30pct,one_at_a_time,-0.22065149430160602,-0.0017791890665658783,-0.047239647203923596,0.714754735461284,0.225370327562036,0.047239647203923596,0.714754735461284,0,0.004773255701949494
hostile_open_ocean,full_markov,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
hostile_open_ocean,full_markov,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,-1.4210854715202004e-14,7.105427357601002e-15,0.0,1.4210854715202004e-14,0,3.507394027990607e-16
landfall_transition,fixed_regime,Ck_minus_30pct,one_at_a_time,3.2810529703444278,0.02457243663423503,0.4125990272920035,-13.663275164909749,3.2810529703444278,0.4125990272920035,13.663275164909749,0,0.0
landfall_transition,fixed_regime,Ck_plus_30pct,one_at_a_time,-2.30097714663394,-0.025156753121195585,-0.3246039787877635,11.878375599829255,2.30097714663394,0.3246039787877635,11.878375599829255,0,0.0
landfall_transition,fixed_regime,boundary_layer_depth_minus_30pct,one_at_a_time,-3.0909098501322045,-0.03575971114840426,-0.4467712534542443,16.490949366457272,3.0909098501322045,0.4467712534542443,16.490949366457272,0,0.0
landfall_transition,fixed_regime,boundary_layer_depth_plus_30pct,one_at_a_time,2.4036021054820953,0.019089579885397834,0.30605366119607424,-10.331819146831577,2.4036021054820953,0.30605366119607424,10.331819146831577,0,0.0
landfall_transition,fixed_regime,fast_kappa_minus_30pct,one_at_a_time,-0.07227198188634709,0.00032991926067860167,0.013287285039268681,0.33455102120733216,0.561107654548465,0.0343426385982184,0.562902600899946,0,0.0
landfall_transition,fixed_regime,fast_kappa_plus_30pct,one_at_a_time,0.06354165351419638,-0.0004314422603648449,-0.01773878216170033,-0.29126318972315346,0.5864966548777275,0.03475771318539955,0.6033044174440079,0,0.0
landfall_transition,fixed_regime,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0,0.0
landfall_transition,fixed_regime,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0,0.0
landfall_transition,full_markov,Ck_minus_30pct,one_at_a_time,3.2810529703444278,0.02457243663423503,0.3599962880308567,-13.663275164909749,3.2810529703444278,0.3599962880308567,13.663275164909749,0,0.14682919674455516
landfall_transition,full_markov,Ck_plus_30pct,one_at_a_time,-2.30097714663394,-0.025156753121195585,-0.2649508258255082,11.878375599829255,2.30097714663394,0.2649508258255082,11.878375599829255,0,0.207279232054563
landfall_transition,full_markov,boundary_layer_depth_minus_30pct,one_at_a_time,-3.0909098501322045,-0.03575971114840426,-0.3611972671426429,16.490949366457272,3.0909098501322045,0.3611972671426429,16.490949366457272,0,0.31607180615443203
landfall_transition,full_markov,boundary_layer_depth_plus_30pct,one_at_a_time,2.4036021054820953,0.019089579885397834,0.2644039340358404,-10.331819146831577,2.4036021054820953,0.2644039340358404,10.331819146831577,0,0.11717282623629202
landfall_transition,full_markov,fast_kappa_minus_30pct,one_at_a_time,-0.07227198188634709,0.00032991926067860167,0.08033992032892456,0.33455102120733216,0.561107654548465,0.0822158026114721,0.562902600899946,0,0.12823784106768638
landfall_transition,full_markov,fast_kappa_plus_30pct,one_at_a_time,0.06354165351419638,-0.0004314422603648449,-0.08647197694222086,-0.29126318972315346,0.5864966548777275,0.08770880763336208,0.6033044174440079,0,0.12141681156021789
landfall_transition,full_markov,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,-2.2737367544323206e-13,1.4210854715202004e-14,0.0,2.2737367544323206e-13,1.4210854715202004e-14,0,0.0
landfall_transition,full_markov,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,-2.2737367544323206e-13,1.4210854715202004e-14,0.0,2.2737367544323206e-13,1.4210854715202004e-14,0,6.437450399132683e-20
